Shadows Unveiled, Mei Ling, Mystery 4.5 180
Quantum Nexus, Alex Mercer, Sci-Fi 3.2 220
Ephemeral Echo, Aria Stone, Fantasy 6.8 150
Cyber Pulse, Jaxon Steele, Tech 7.5 120
Enchanted Whispers, Isabella Cruz, Romance 2.0 190
Galactic Odyssey, Zara Nova, Sci-Fi 5.5 250
Mind Games, Ethan Harper, Thriller 4.1 180
Serenity Falls, Lily Chen, Fantasy 8.2 210
Codebreakers, Ryan Anderson, Mystery 3.8 200
Beyond Stars, Nova Sky, Sci-Fi 6.0 170
Timeless Love, Amelia Reed, Romance 2.3 160
Destiny Chronicles, Damien Knight, Fantasy 7.1 220
Digital Realms, Zoey Carter, Tech 6.5 140
Midnight Serenade, Sebastian Taylor, Mystery 4.0 190
Celestial Harmony, Luna Moon, Sci-Fi 5.2 230
Whispers Wind, Olivia Grace, Fantasy 8.5 180
Code Honor, Max Sterling, Thriller 4.7 200
Stellar Desires, Orion Star, Romance 2.6 170
Nexus Chronicles, Ava Williams, Tech 7.8 160
Midnight Masquerade, Gabriel Knight, Mystery 4.3 210
